id,name,tvg_name,group,reason
3ABNKids.us@SD,3ABN Kids Network,,Animation;Kids;Religious,no-safe-match
30AGeorgiaHollywoodReview.us@SD,30A Georgia Hollywood Review TV (720p),,Entertainment;News,no-safe-match
30AGolfKingdom.us@SD,30A Golf Kingdom (720p),,Sports,no-safe-match
30ALionelNation.us@SD,30A Lionel Nation TV,,News,no-safe-match
30ALoomeredTV.us@SD,30A Loomered TV,,Documentary;News,no-safe-match
30ARidiculousTV.us@SD,30A Ridiculous TV (720p),,Comedy,no-safe-match
30ASidewalks.us@SD,30A Sidewalks (720p),,Entertainment,no-safe-match
30ATelevisionChannel.us@SD,30A Television Channel (720p),,Entertainment,no-safe-match
30ATVClassicMovies.us@SD,30A TV Classic Movies (720p),,Movies,no-safe-match
ABNBibleMoviesChannel.us@SD,ABN Bible Movies (720p),,Movies;Religious,no-safe-match
AFVEspanol.us@SD,AFV en Español (720p) [Not 24/7],,Comedy,no-safe-match
AlhurraIraq.us@SD,Alhurra Iraq (720p),,News,no-safe-match
AbsoluteRealitybyWETV.us@SD,AMC Absolute Reality,,Entertainment,no-safe-match
AmericasVoice.us@SD,America's Voice (720p),,News,no-safe-match
AmericanHorrors.us@SD,American Horrors (480p),,Movies,no-safe-match
AmuTV.us@SD,Amu TV,,News,no-safe-match
ARTFLIXMovieClassics.us@SD,Artflix Movie Classics (720p),,Classic;Movies,no-safe-match
Atlas.us@SD,Atlas (480p),,Documentary,no-safe-match
AutenticHistory.de@SD,Autentic History (1080p),,Documentary,no-safe-match
BabyFirst.us@US,BabyFirst (720p),,Kids,matched-but-zero-programmes
Backstage.us@SD,Backstage (1080p),,Documentary,no-safe-match
BarkTV.us@SD,Bark TV (1080p),,Entertainment,no-safe-match
BBCKids.us@SD,BBC Kids (720p),,Kids,no-safe-match
beINSportsUSA.us@SD,beIN Sports USA (1080p) [Geo-blocked],,Sports,no-safe-match
BEKNews.us@SD,BEK TV News (720p),,News,no-safe-match
BlackNewsChannel.us@SD,Black News Channel (1080p),,News,no-safe-match
BloombergOriginals.us@SD,Bloomberg Originals (1080p),,Business;Documentary,matched-but-zero-programmes
BXInform.us@SD,BX Inform (1080p),,General;News,no-safe-match
CameraSmileTV.us@SD,Camera Smile (480p),,Comedy,no-safe-match
ChristianYouthChannelCYC.us@SD,Christian Youth Channel (CYC) (1080p),,Kids;Religious,no-safe-match
Cinevault80s.us@SD,Cinevault 80s (720p),,Movies,no-safe-match
Crime360.us@SD,Crime 360 (720p),,Documentary,no-safe-match
Dateline247.us@SD,Dateline 24/7 (1080p),,Documentary,no-safe-match
DidgahTV.us@SD,Didgah TV (576p),,News,no-safe-match
Docurama.us@SD,Docurama (1080p),,Documentary,no-safe-match
MeritStreet.us@SD,Dr Phil's MeritTV (1080p),,Entertainment,no-safe-match
EBSCinema.us@SD,EBS Cinema (720p),,Movies,no-safe-match
ESPNDeportes.us@SD,ESPN Deportes (720p),,Sports,matched-but-zero-programmes
ESPNU.us@SD,ESPNU (720p),,Sports,matched-but-zero-programmes
